Column,Data_Type,Missing_Data_Count,Missing_Data_Percentage,Absurd_Values,Outlier_Count,Whitespace_Issues,Case_Inconsistencies
EmployeeNumber,int64,0,0.0,0,0,0,0
Age,int64,0,0.0,0,0,0,0
Tenure,int64,0,0.0,0,0,0,0
Turnover,object,0,0.0,0,0,0,0
HourlyRate ,float64,0,0.0,0,0,0,0
HoursWeekly,int64,0,0.0,0,0,0,0
CompensationType,object,0,0.0,0,0,0,0
AnnualSalary,float64,0,0.0,1010,560,0,0
DrivingCommuterDistance,float64,0,0.0,0,199,0,0
JobRoleArea,object,0,0.0,0,0,0,0
Gender,object,0,0.0,0,0,0,0
MaritalStatus,object,0,0.0,0,0,0,0
NumCompaniesPreviouslyWorked,float64,0,0.0,0,0,0,0
AnnualProfessionalDevHrs,float64,0,0.0,0,0,0,0
PaycheckMethod,object,0,0.0,0,0,0,0
TextMessageOptIn,object,0,0.0,0,0,0,0
Salary_Math_Consistent,bool,0,0.0,0,0,0,0
Salary_Inconsistency_Severity,object,0,0.0,0,0,0,0
Salary_Needs_Review,bool,0,0.0,0,0,0,0
Salary_Issue_Details,object,0,0.0,0,0,0,0
AnnualSalary_outlier_flag,bool,0,0.0,0,0,0,0
DrivingCommuterDistance_outlier_flag,bool,0,0.0,0,0,0,0
